table_id,table_name
1,fact_employees
2,work_fender_access_token
3,fact_fender_deviations
4,work_fender_deviations
5,fact_environmental_totals_pre
6,fact_environmental_corrections
7,fact_environmental_totals
8,fact_fender_gpstrips
9,work_fender_gpstrips_hashes
10,work_fdb_trafikkdata
11,fact_fender_trips
12,work_fender_scheduledtrips_hashes
13,fact_trafikkmeldinger
14,work_fender_trafficmessage_hashes
15,AGLDIMENSION
16,AS
17,AGLDIMVALUE
18,AGLRELATION
19,AGLRELVALUE
20,dim_finance_accounts
21,work_account_relations
22,aglrelvalue
23,fact_f1statistikk_operational
24,ACRCLIENT
25,agldimvalue
26,dim_agldimvalue
27,fact_f1statistikk_financial
28,fact_accounting_period_status
29,AGLACCGRP
30,AGLACCOUNTS
31,SOURCE_IMPORT
32,F1STATISTIKK
33,dim_vessel
34,fact_shiplog_connections
35,fact_total_consumption
36,work_anbud_relations
37,work_vessel_rel
38,DBO
39,work_absence
40,work_schedule
41,work_ahsrelvalue
42,as
43,work_ahsresources
44,work_aprposrelvalue
45,work_aprresourcepost
46,work_employees
47,desc
48,dim_ansettelsestype
49,dim_godkjenner_koststed
50,work_aprpost
51,work_absence_old
52,work_employee_main_post_period
53,aprposrelvalue
54,fact_f1stat_operational_distributed
55,fuel_types
56,dim_f1stat_financial_key_hours
57,fact_f1statistikk
58,f1statistikk
59,dim_f1stat_operational_key_hours
60,work_connections_rel
61,work_fdb_samband
62,fact_environmental_fuel_corrections
63,dim_connections
64,fact_shiplog_gps_trips
65,fact_shiplog_route_deviations
66,fact_trips
67,fact_trips_schedule
68,fact_shiplog_route_deviations_dev
69,Unknown
70,fact_f1stat_financial_distributed
71,dim_vessel_nox_metan_factor
72,work_aprhistr
73,fact_employee_absence_category
74,work_apsabsence
75,work_vessel_relations_full
76,FROM
77,fact_shiplog_cancelled_trips
78,fact_shiplog_trips
79,dim_connections_main_vessels
80,hist_mellomsystemet_tickets
81,work_mellomsystemet_tickets
82,work_trafikkmeldinger
83,DETAIL
84,not
85,work_fdb_token
86,work_mellomsystemet_ag_export_base
87,ag_export_base
88,lookup table
89,AG_EXPORT_BASE
90,F1_Saldo_1
91,dbo
92,work_mellomsystemet_tickets_hist
93,work_ahsresschedule
94,AHSRESSCHEDULE
95,APRHISTR
96,aprpost
97,APRRESOURCEPOST
98,APSABSENCE
99,ahsrelvalue
100,ahsresources
101,AUTOPASS
102,f1_sortfdb
